_id,PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
25757,2019-02-26,ÜZGÜN AĞAÇLAR ÜLKESİ,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.9709719999999997,41.0793660000000003,113
25758,2019-01-26,KAHVEDE ŞENLİK VAR,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,32
25759,2019-11-04,TATLI KAÇIK,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.9888289999999991,41.0467879999999994,255
25760,2019-09-25,CAN YELEĞİ,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.9164819999999985,41.0578459999999978,2
25761,2018-10-10,KOMİK-İ ŞEHİR NAŞİT BEY,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,82
25762,2019-12-27,"AY, CARMELA!",Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,18
25763,2017-12-24,ÜZGÜN AĞAÇLAR ÜLKESİ,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.015900000000002,58
25764,2019-02-02,BEN ÇAĞIRMADIM,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,21
25765,2019-01-22,CİBALİ KARAKOLU,Kağıthane Sadabad Sahnesi,Müzikal,0,Yabancı,28.9709719999999997,41.0793660000000003,1377
25766,2020-01-10,PERİKIZ,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.9709719999999997,41.0793660000000003,43
25767,2019-12-22,HARİKALAR MUTFAĞI,Üsküdar Musahipzade Celãl Sahnesi,Çocuk,0,Yerli,29.0128999999999984,41.019561000000003,28
25768,2019-12-13,HARİKALAR MUTFAĞI,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765776999999986,41.0977446799999981,10
25769,2019-12-08,YAŞASIN BARIŞ,Üsküdar Musahipzade Celãl Sahnesi,Çocuk,0,Yerli,29.0128999999999984,41.019561000000003,8
25770,2020-01-01,BİSKÜVİ ADAM,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yabancı,28.8765776999999986,41.0977446799999981,6
25771,2020-09-25,ALLAHAISMARLADIK CUMHURİYET / TATAVLA SAHNE, TATAVLA SAHNE,Yetişkin,0,Yerli,28.956194,41.015900000000002,18
25772,2020-10-03,ANDAN DAHA KISA (LESS THAN NO TİME) / TALDANS, TAL DANS,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,5
25773,2020-01-07,KAHVEDE ŞENLİK VAR,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0128999999999984,41.019561000000003,38
25774,2017-11-25,YANGIN YERİNDE ORKİDELER,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,70
25775,2018-03-04,KAHVEDE ŞENLİK VAR,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,14
25776,2019-12-11,YAŞASIN BARIŞ,Kadıköy Haldun Taner Sahnesi,Çocuk,0,Yerli,29.0234079999999999,40.9917700000000025,1
25777,2018-02-13,ELMA KURDU KIRTIK,Kağıthane Küçük Kemal Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.9709719999999997,41.0793660000000003,20
25778,2020-01-28,AMANVERMEZ AVNİ,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,3
25779,2019-03-29,HAYAL-İ TEMSİL,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli,28.9709719999999997,41.0793660000000003,39
25780,2018-03-28,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,71
25781,2020-02-23,RÜYA,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.015900000000002,6
25782,2019-01-05,NORA - BİR BEBEK EVİ,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,15
25783,2017-10-22,İKİ ARADA BİR YERDE,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,100
25784,2019-01-08,MEVLANA'DAN ÖYKÜLER,Kağıthane Sadabad Sahnesi,Çocuk,0,Yerli,28.9709719999999997,41.0793660000000003,36
25785,2018-12-26,NORA - BİR BEBEK EVİ,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900000000002,110
25786,2020-01-23,İKİ EFENDİNİN UŞAĞI,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı,28.9709719999999997,41.0793660000000003,49
25787,2017-11-20,POLLYANNA,Kağıthane Sadabad Sahnesi,Çocuk,0,Yabancı,28.9709719999999997,41.0793660000000003,58
25788,2020-01-02,"AY, CARMELA!",Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900000000002,87
25789,2020-02-14,AY IŞIĞINDA ŞAMATA,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.9164819999999985,41.0578459999999978,1
25790,2017-10-11,REİS BEY,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0128999999999984,41.019561000000003,53
25791,2018-10-25,BEN ÇAĞIRMADIM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.9164819999999985,41.0578459999999978,4
25792,2017-12-02,ŞAHANE ZÜĞÜRTLER,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.0234079999999999,40.9917700000000025,75
25793,2019-11-04,"AY, CARMELA!",Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.0234079999999999,40.9917700000000025,2
25794,2020-01-30,YAŞASIN BARIŞ,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yerli,28.9888289999999991,41.0467879999999994,24
25795,2019-12-21,YAŞAYAN SAYFALAR,Ümraniye Sahnesi,Çocuk,0,Yerli,29.1047979999999988,41.0250249999999994,37
25796,2019-01-04,YAŞASIN BARIŞ,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.015900000000002,93
25797,2018-02-21,DEFİNE ADASI,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yabancı,28.9888289999999991,41.0467879999999994,222
25798,2019-04-15,İBLİS,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.9888289999999991,41.0467879999999994,110
25799,2019-05-15,YAŞANMAZ (KOCAELİ ÜNİ. GSF SAHNE SANATLARI BÖLÜMÜ),Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,1,Yabancı,29.0128999999999984,41.019561000000003,3
25800,2017-10-19,YAŞASIN BARIŞ,Gaziosmanpaşa Sahnesi,Çocuk,0,Yerli,28.9164819999999985,41.0578459999999978,94
25801,2018-11-07,BİZİM AİLE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli,28.9709719999999997,41.0793660000000003,50
25802,2019-12-14,POLLYANNA,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yabancı,28.9888289999999991,41.0467879999999994,36
25803,2019-05-13,DURUŞMA (YEDİTEPE ÜNİVERSİTESİ GSF TİYATRO BÖLÜMÜ),Kadıköy Haldun Taner Sahnesi,Yetişkin,1,Yabancı,29.0234079999999999,40.9917700000000025,12
25804,2019-03-16,MATRUŞKA,Üsküdar Musahipzade Celãl Sahnesi,Yetişkin,0,Yerli,29.0128999999999984,41.019561000000003,91
25805,2019-12-17,"AY, CARMELA!",Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,537
25806,2019-11-05,NORA - BİR BEBEK EVİ,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,35
25807,2017-12-14,HARİKALAR MUTFAĞI,Ümraniye Sahnesi,Çocuk,0,Yerli,29.1047979999999988,41.0250249999999994,109
25808,2019-02-16,TATLI KAÇIK,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yabancı,29.0238170000000011,41.0170639999999977,32
25809,2020-01-23,KARINCALAR - BİR SAVAŞ VARDI,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.0234079999999999,40.9917700000000025,13
25810,2017-10-10,AY IŞIĞINDA ŞAMATA,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli,28.9709719999999997,41.0793660000000003,149
25811,2018-05-10,ÇEHOV YALTA'DA (TİYATRO ASD - MİMAR SİNAN GSÜ DEVLET KONSERVATUVARI),Kadıköy Haldun Taner Sahnesi,Yetişkin,1,Yabancı,29.0234079999999999,40.9917700000000025,14
25812,2020-01-05,PALYAÇO PRENS,Ümraniye Sahnesi,Çocuk,0,Yerli,29.1047979999999988,41.0250249999999994,61
25813,2020-01-20,VAHŞİ BATI,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,9
25814,2017-11-01,YANGIN YERİNDE ORKİDELER,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,56
25815,2020-02-09,YAŞASIN BARIŞ,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765776999999986,41.0977446799999981,34
25816,2018-12-15,MATRUŞKA,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yerli,28.9888289999999991,41.0467879999999994,195
25817,2018-04-17,MATRUŞKA,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.0234079999999999,40.9917700000000025,3
25818,2020-11-07,GEÇİT,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,7
25819,2019-01-07,UZLAŞMA,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yabancı,28.8765776999999986,41.0977446799999981,3
25820,2017-10-22,BİR KÜMES HİKAYESİ,Fatih Reşat Nuri Sahnesi,Çocuk,0,Yerli,28.956194,41.015900000000002,47
25821,2018-03-25,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900000000002,3
25822,2019-09-28,KOMİK-İ ŞEHİR NAŞİT BEY,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yerli,28.8765776999999986,41.0977446799999981,5
25823,2018-02-19,SAADET HANIM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.9164819999999985,41.0578459999999978,37
25824,2020-01-14,AY IŞIĞINDA ŞAMATA,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yerli,28.9888289999999991,41.0467879999999994,15
25825,2020-02-06,GEÇ KALANLAR,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,14
25826,2019-01-19,HARİKALAR MUTFAĞI,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765776999999986,41.0977446799999981,142
25827,2020-01-15,BENİM GÜZEL PABUÇLARIM,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yerli,28.8765776999999986,41.0977446799999981,3
25828,2019-11-18,HASTALIK HASTASI,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.9164819999999985,41.0578459999999978,8
25829,2019-03-28,HARİKALAR MUTFAĞI,Ümraniye Sahnesi,Çocuk,0,Yerli,29.1047979999999988,41.0250249999999994,534
25830,2019-10-15,SON,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,95
25831,2017-11-13,KOMİK-İ ŞEHİR NAŞİT BEY,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,58
25832,2019-12-24,MATRUŞKA,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,11
25833,2017-11-26,CİBALİ KARAKOLU,Üsküdar Musahipzade Celãl Sahnesi,Müzikal,0,Yabancı,29.0128999999999984,41.019561000000003,2
25834,2018-04-16,GEÇ KALANLAR,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yerli,28.9164819999999985,41.0578459999999978,52
25835,2019-12-06,KOMİK-İ ŞEHİR NAŞİT BEY,Sultangazi Hoca Ahmet Yesevi Sahnesi,Yetişkin,0,Yerli,28.8765776999999986,41.0977446799999981,4
25836,2019-03-21,ÜZGÜN AĞAÇLAR ÜLKESİ,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yerli,28.9888289999999991,41.0467879999999994,35
25837,2019-04-12,"FABRİKA SANAT TİYATROSU ""IŞIL DÜNYA""",Gaziosmanpaşa Ferih Egemen Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yabancı,28.9164819999999985,41.0578459999999978,12
25838,2017-12-19,BİR GÜN AYAKKABIMIN TEKİ,Kağıthane Küçük Kemal Çocuk Tiyatrosu Sahnesi,Çocuk,0,Yerli,28.9709719999999997,41.0793660000000003,38
